"ImageNumber","FileName_colorimage","AreaShape_Area","AreaShape_HuMoment_2","AreaShape_InertiaTensor_0_0","AreaShape_Solidity","Intensity_IntegratedIntensity_DNA","Intensity_IntegratedIntensity_H2AX","Intensity_MADIntensity_DNA","Intensity_MassDisplacement_DNA","Intensity_MassDisplacement_H2AX","Intensity_MassDisplacement_Ki67","Intensity_MaxIntensity_H2AX","Intensity_MinIntensityEdge_DNA","Intensity_MinIntensityEdge_H2AX","Intensity_MinIntensity_Ki67","Intensity_StdIntensityEdge_DNA","Intensity_StdIntensityEdge_Ki67","Intensity_StdIntensity_Ki67"
92,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2325.png",590,0.000518572,40.10371732,0.95623987,66.10196269,14.43921631,0.035294123,0.315631155,0.243532941,0.419006211,0.047058824,0,0,0,0,0,0.027867388
93,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2327.png",985,2.49e-05,100.1496148,0.976214073,126.8274543,24.09804033,0.031372547,0.171874692,0.091514526,1.911533257,0.043137256,0,0,0,0,0,0.104514979
94,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2329.png",1124,9.57e-06,77.5376982,0.970639033,169.6509843,37.35686388,0.047058821,0.979977114,0.507068684,1.662469194,0.06666667,0,0,0,0,0,0.061225552
95,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_1126.png",965,9.02e-05,102.8397154,0.968875502,280.4353001,123.7686304,0.09803921,0.137363468,0.722784624,1.167405307,0.36470589,0,0,0,0,0,0.150816572
96,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_113.png",817,0.000167465,75.04996786,0.966863905,219.8941231,68.80000136,0.082352951,0.471802186,0.056383614,0.906034132,0.152941182,0,0,0,0,0,0.059044062
97,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_115.png",1216,1.74e-05,79.22671331,0.974358974,400.0823613,325.8117716,0.090196073,0.561189365,0.564033163,1.331126876,0.698039234,0,0,0,0,0,0.105901424
98,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_1150.png",882,0.000113404,128.231119,0.956616052,236.9529474,61.16862879,0.086274505,1.533813481,0.343778328,0.134484269,0.129411772,0,0,0,0,0,0.02243889
99,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_1152.png",998,8.28e-05,88.76305416,0.972709552,296.2196145,80.97647188,0.086274505,0.556852469,0.097126037,1.144568355,0.176470593,0,0,0,0,0,0.039055076
100,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_116.png",971,4.04e-05,82.0702006,0.97002997,287.9647122,75.94509932,0.090196073,0.585493936,0.067702928,0.408452446,0.13333334,0,0,0,0,0,0.041948318
101,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_1161.png",856,3.93e-05,60.51677958,0.970521542,232.2000051,61.52549146,0.074509799,0.149946578,0.187129668,0.402617197,0.129411772,0,0,0,0,0,0.043595279
102,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_1164.png",898,7.98e-07,91.65912867,0.971861472,278.4509864,129.0470619,0.109803915,0.253914964,0.446836991,0.912610251,0.34117648,0,0,0,0,0,0.11746744
103,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_1165.png",1004,4.02e-06,79.54457072,0.972868217,272.156869,114.0431409,0.066666663,0.464083059,0.400671058,0.624802909,0.243137255,0,0,0,0,0,0.112507494
104,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_1171.png",640,9.73e-05,36.73964844,0.96969697,203.0313777,45.39607926,0.113725483,0.237301366,0.246313215,0.419898594,0.125490203,0,0,0,0,0,0.023172422
105,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_1185.png",1010,1.52e-05,70.44324674,0.973963356,329.4862817,101.0352972,0.082352936,0.41643818,0.449943385,1.362865691,0.203921571,0,0,0,0,0,0.056705354
